muni_PK,codigo_muni,nombre_muni
0,05001,Medellín
1,05002,Abejorral
2,05004,Abriaquí
3,05021,Alejandría
4,05030,Amagá
5,05031,Amalfi
6,05034,Andes
7,05036,Ángelópolis
8,05038,Angostura
9,05040,Anorí
10,05042,Santafé de Antioquia
11,05044,Anzá
12,05045,Apartadó
13,05051,Arboletes
14,05055,Argelia
15,05059,Armenia
16,05079,Barbosa
17,05086,Belmira
18,05088,Bello
19,05091,Betania
20,05093,Betulia
21,05101,Ciudad Bolívar
22,05107,Briceño
23,05113,Buriticá
24,05120,Cáceres
25,05125,Caicedo
26,05129,Caldas
27,05134,Campamento
28,05138,Cañasgordas
29,05142,Caracolí
30,05145,Caramanta
31,05147,Carepa
32,05148,El Carmen de Viboral
33,05150,Carolina
34,05154,Caucasia
35,05172,Chigorodó
36,05190,Cisneros
37,05197,Cocorná
38,05206,Concepción
39,05209,Concordia
40,05212,Copacabana
41,05234,Dabeiba
42,05237,Don Matías
43,05240,Ebéjico
44,05250,El Bagre
45,05264,Entrerrios
46,05266,Envigado
47,05282,Fredonia
48,05284,Frontino
49,05306,Giraldo
50,05308,Girardota
51,05310,Gómez Plata
52,05313,Granada
53,05315,Guadalupe
54,05318,Guarne
55,05321,Guatapé
56,05347,Heliconia
57,05353,Hispania
58,05360,Itagüí
59,05361,Ituango
60,05364,Jardín
61,05368,Jericó
62,05376,La Ceja
63,05380,La Estrella
64,05390,La Pintada
65,05400,La Unión
66,05411,Liborina
67,05425,Maceo
68,05440,Marinilla
69,05467,Montebello
70,05475,Murindó
71,05480,Mutatá
72,05483,Nariño
73,05490,Necoclí
74,05495,Nechí
75,05501,Olaya
76,05541,Peñol
77,05543,Peque
78,05576,Pueblorrico
79,05579,Puerto Berrío
80,05585,Puerto Nare
81,05591,Puerto Triunfo
82,05604,Remedios
83,05607,Retiro
84,05615,Rionegro
85,05628,Sabanalarga
86,05631,Sabaneta
87,05642,Salgar
88,05647,San Andrés de Cuerquía
89,05649,San Carlos
90,05652,San Francisco
91,05656,San Jerónimo
92,05658,San José de La Montaña
93,05659,San Juan de Urabá
94,05660,San Luis
95,05664,San Pedro de Los Milagros
96,05665,San Pedro de Urabá
97,05667,San Rafael
98,05670,San Roque
99,05674,San Vicente
100,05679,Santa Bárbara
101,05686,Santa Rosa de Osos
102,05690,Santo Domingo
103,05697,El Santuario
104,05736,Segovia
105,05756,Sonsón
106,05761,Sopetrán
107,05789,Támesis
108,05790,Tarazá
109,05792,Tarso
110,05809,Titiribí
111,05819,Toledo
112,05837,Turbo
113,05842,Uramita
114,05847,Urrao
115,05854,Valdivia
116,05856,Valparaíso
117,05858,Vegachí
118,05861,Venecia
119,05873,Vigía del Fuerte
120,05885,Yalí
121,05887,Yarumal
122,05890,Yolombó
123,05893,Yondó
124,05895,Zaragoza
125,05999,Sin Información
126,08001,Barranquilla
127,08078,Baranoa
128,08137,Campo de La Cruz
129,08141,Candelaria
130,08296,Galapa
131,08372,Juan de Acosta
132,08421,Luruaco
133,08433,Malambo
134,08436,Manatí
135,08520,Palmar de Varela
136,08549,Piojó
137,08558,Polonuevo
138,08560,Ponedera
139,08573,Puerto Colombia
140,08606,Repelón
141,08634,Sabanagrande
142,08638,Sabanalarga
143,08675,Santa Lucía
144,08685,Santo Tomás
145,08758,Soledad
146,08770,Suan
147,08832,Tubará
148,08849,Usiacurí
149,08999,Sin Información
150,11001,Bogotá
151,13001,Cartagena
152,13006,Achí
153,13030,Altos del Rosario
154,13042,Arenal
155,13052,Arjona
156,13062,Arroyohondo
157,13074,Barranco de Loba
158,13140,Calamar
159,13160,Cantagallo
160,13188,Cicuco
161,13212,Córdoba
162,13222,Clemencia
163,13244,El Carmen de Bolívar
164,13248,El Guamo
165,13268,El Peñón
166,13300,Hatillo de Loba
167,13430,Magangué
168,13433,Mahates
169,13440,Margarita
170,13442,María La Baja
171,13458,Montecristo
172,13468,Mompós
173,13473,Morales
174,13490,Norosí
175,13549,Pinillos
176,13580,Regidor
177,13600,Río Viejo
178,13620,San Cristóbal
179,13647,San Estanislao
180,13650,San Fernando
181,13654,San Jacinto
182,13655,San Jacinto del Cauca
183,13657,San Juan Nepomuceno
